fecha,titular,url
2025-04-15,Con éxito de convocatoria lanzan Consorcio de Innovación Biobío-Ñuble para impulsar alianzas estratégicas y fortalecer el ecosistema regional,https://www.minciencia.gob.cl/noticias/con-exito-de-convocatoria-lanzan-consorcio-de-innovacion-biobio-nuble-para-impulsar-alianzas-estrategicas-y-fortalecer-el-ecosistema-regional/
2025-04-09,Investigadores e investigadoras compartieron sus experiencias con la postulación e implementación de proyectos financiados por FONDEQUIP,https://www.minciencia.gob.cl/noticias/investigadores-experiencias-postulacion-e-implementacion-de-proyectos-financiados-por-fondequip/
2025-04-09,Consejo del CERN admite a Chile como Estado Miembro Asociado,https://www.minciencia.gob.cl/noticias/consejo-del-cern-admite-a-chile-como-estado-miembro-asociado/
2025-04-02,Semana de las Tecnologías Cuánticas: Revisa aquí la cartelera de actividades,https://www.minciencia.gob.cl/noticias/cartelera-actividades-de-la-semana-de-las-tecnologias-cuanticas/
2025-03-31,CAF firma convenio con MinCiencia: aportará US$250.000 a Latam GPT a través de CENIA,https://www.minciencia.gob.cl/noticias/caf-firma-convenio-con-minciencia-aportara-us250000-a-latam-gpt-a-traves-de-cenia/
2025-03-28,"Ministra Etcheverry: “La investigación no es un proyecto, es una actividad permanente y que las universidades deben hacer todos los días y en todas las áreas”",https://www.minciencia.gob.cl/noticias/ministra-etcheverry-investigacion-es-una-actividad-permanente/
2025-03-26,Mineduc y MinCiencia presentan informes sobre participación de mujeres en educación superior y en investigación,https://www.minciencia.gob.cl/noticias/mineduc-y-minciencia-presentan-informes-sobre-participacion-de-mujeres-en-educacion-superior-y-en-investigacion/
2025-03-25,MinCiencia llama a comisión de expertos en iluminación y observación astronómica para garantizar protección de áreas de valor científico,https://www.minciencia.gob.cl/noticias/minciencia-llama-comision-de-expertos-en-iluminacion-y-observacion-astronomica-proteccion-areas-valor-cientifico/
2025-03-25,"Durante Expedición Antártica Escolar, subsecretario Cristian Cuevas y seis estudiantes vivieron la experiencia polar",https://www.minciencia.gob.cl/noticias/durante-expedicion-antartica-escolar-subsecretario-cristian-cuevas-y-seis-estudiantes-vivieron-la-experiencia-polar/
2025-03-24,Más de 100 investigadores se reúnen para sustentar con evidencia científica las metas de Chile frente al cambio climático,https://www.minciencia.gob.cl/noticias/mas-de-100-investigadores-se-reunen-para-sustentar-con-evidencia-cientifica-las-metas-de-chile-frente-al-cambio-climatico/
2025-03-22,"“Este es un día que nos vuelve a conectar con el asombro y que nos recuerda que tenemos un cielo en común""",https://www.minciencia.gob.cl/noticias/este-es-un-dia-que-nos-vuelve-a-conectar-con-el-asombro-y-que-nos-recuerda-que-tenemos-un-cielo-en-comun/
2025-03-20,Subsecretario Cuevas: “Queremos resguardar que el trabajo que se realiza desde las universidades regionales tenga pertinencia territorial”,https://www.minciencia.gob.cl/noticias/subsecretario-cuevas-queremos-resguardar-que-el-trabajo-que-se-realiza-desde-las-universidades-regionales-tenga-pertinencia-territorial/
2025-03-20,Ministerio de Ciencia conforma Comisión Asesora Ministerial sobre Biotecnología,https://www.minciencia.gob.cl/noticias/ministerio-de-ciencia-conforma-comision-asesora-ministerial-sobre-biotecnologia/
2025-03-19,"Abierta nueva convocatoria de Instrumentos Nacionales PAR Explora 2025-2026: PIPE, Investigación e Innovación Escolar y Campamentos Explora Va!",https://www.minciencia.gob.cl/noticias/abierta-nueva-convocatoria-de-instrumentos-nacionales-par-explora-2025-2026-pipe-investigacion-e-innovacion-escolar-y-campamentos-explora-va/
2025-03-18,Con más de 100 actividades a lo largo del país el Ministerio de Ciencia invita a celebrar el Día de la Astronomía,https://www.minciencia.gob.cl/noticias/con-mas-de-100-actividades-a-lo-largo-del-pais-el-ministerio-de-ciencia-invita-a-celebrar-el-dia-de-la-astronomia/
2025-03-13,Fondo de Investigación para Universidades (FIU) ya está en marcha: UTEM presentó su proyecto para un Centro de Nuevas Economías y Tecnologías,https://www.minciencia.gob.cl/noticias/fondo-de-investigacion-para-universidades-fiu-ya-esta-en-marcha-utem-presento-su-proyecto-para-un-centro-de-nuevas-economias-y-tecnologias/
2025-03-10,Subsecretario de Ciencia: “las universidades regionales contribuyen de manera profunda y altamente significativa al desarrollo científico y productivo de sus territorios”,https://www.minciencia.gob.cl/noticias/subsecretario-de-ciencia-las-universidades-regionales-contribuyen-de-manera-profunda-y-altamente-significativa-al-desarrollo-cientifico-y-productivo-de-sus-territorios/
2025-03-10,Seremi Verónica Vallejos destaca trabajo ministerial para promover la participación equitativa de hombres y mujeres en la ciencia,https://www.minciencia.gob.cl/noticias/seremi-macrozona-austral-trabajo-ministerial-promover-participacion-equitativa-de-hombres-y-mujeres-en-la-ciencia/
2025-03-10,Destacan a nuevas estudiantes del Programa “Más Mujeres Científicas” en Valparaíso,https://www.minciencia.gob.cl/noticias/destacan-a-nuevas-estudiantes-del-programa-mas-mujeres-cientificas-en-valparaiso/
2025-03-07,Chile entrena a sus futuros profesores en Inteligencia Artificial,https://www.minciencia.gob.cl/noticias/chile-entrena-a-sus-futuros-profesores-en-inteligencia-artificial/
2025-03-04,"Declaración Pública del Ministerio de Ciencia, Tecnología, Conocimiento e Innovación",https://www.minciencia.gob.cl/noticias/declaracion-publica-del-ministerio-de-ciencia-tecnologia-conocimiento-e-innovacion/
2025-02-27,Seremi de Ciencia Antofagasta y Atacama: “Uno de los ejes prioritarios del MinCiencia es acercar la ciencia a la comunidad”,https://www.minciencia.gob.cl/noticias/seremi-de-ciencia-antofagasta-y-atacama-uno-de-los-ejes-prioritarios-del-minciencia-es-acercar-la-ciencia-a-la-comunidad/
2025-02-26,"""Ciencia al Atardecer”: un encuentro al aire libre para toda la familia en Viña del Mar",https://www.minciencia.gob.cl/noticias/ciencia-al-atardecer-un-encuentro-al-aire-libre-para-toda-la-familia-en-vina-del-mar/
2025-02-21,Cartelera de verano con MinCiencia: ministro (s) Cristián Cuevas presenta casi 40 panoramas que entretienen y fomentan el pensamiento crítico,https://www.minciencia.gob.cl/noticias/cartelera-de-verano-con-minciencia-ministro-s-cristian-cuevas-presenta-casi-40-panoramas-que-entretienen-y-fomentan-el-pensamiento-critico/
2025-02-20,¡Termina tu verano con ciencia!,https://www.minciencia.gob.cl/noticias/termina-tu-verano-con-ciencia-panoramas-2025/
2025-02-13,Ministra Aisén Etcheverry celebra en Planetario USACH la Semana de la Niña y la Mujer en la Ciencia,https://www.minciencia.gob.cl/noticias/ministra-etcheverry-planetario-usach-la-nina-y-la-mujer-en-la-ciencia/
